,Title,Abstract,DOI,Link,Source,Valido,Comentario,métrica,algoritmos,deporte,liga,sexo,balanceo,preprocesado,volumen DS,features,disponibilidad de datos,link a datos,objetivo,atributo a predecir,Resultado,origen datos,año datos,autores,mejoras en comparación,críticas
Sergio,Competition seriousness and competition level modulate testosterone and cortisol responses in soccer players,"This study aimed to analyze the modulating effect of competition seriousness and competition level in the testosterone and cortisol responses in professional soccer player. Ninety five (95) soccer players were included in this study (professional, n = 39; semiprofessional, n = 27; amateur, n = 29) before and after training, friendly game and official games. Repeated measures ANOVA showed higher testosterone levels (F(1,89) = 134, p < 0.0001, η2p = 0.75) in professional soccer players, when compared with semiprofessional (p < 0.0001) or amateur athletes (p < 0.0001). After winning a competition game an increase in testosterone levels was observed in professionals (t = −3.456, p < 0.001), semiprofessionals (t = −4.400, p < 0.0001), and amateurs (t = −2.835, p < 0.009). In contrast, this momentary hormonal fluctuation was not observed after winning a friendly game or during a regular training day. Additionally, statistical analysis indicated that cortisol levels were lower in professional (t = −3.456, p < 0.001) and semiprofessional athletes (t = −4.400, p < 0.0001) than in amateurs (t = −2.835, p < 0.009). In soccer players a rise in testosterone was only observable when the team was faced with an actual challenge but did not support a different response between categories. Thus, the desire to achieve a goal (and keep the social status) may be one of the key reasons why testosterone levels rise promptly. Conversely, testosterone did not change after friendly games, which suggests these situations are not real goals and the players do not perceive an actual threat (in terms of dominance) more than the preparation for their next competitive game. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",10.3390/ijerph17010350,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077621931&doi=10.3390%2fijerph17010350&partnerID=40&md5=b95d671de04c551a09688b289836cbc5,SCOPUS,No,"Futbolistas después de entrenar tienen altos niveles de testorena, pero no cambia en si es un partido amistoso o complicado (?¿)",,,,,,,,,,,,,,,,,,,
Sergio,Players of male football teams’ resilience: comparative analysis of content parameters,"The purpose of the article is an empirical study and comparison of the content parameters of the resilience of male football teams that won (Group 1; n=66), lost Group 2; n=66), and drew (Group 3; n=44). Research methods: valid psychodiagnostic methods using standard survey forms were used in the study, as well as Spearman correlation analysis (rs) and the Student’s t-test. Results. It has been substantiated that the resilience of male football players is an integrated set of qualities, protective mechanisms, psychophysiological processes, and psycho-emotional states targeted at dealing with adversity, struggling, and overcoming/ not overcoming stress with a new level of functioning. It was found that the Resilience parameters of players who drew (Group 3) and players who won (Group 1) varied significantly RS (t=2.3; р<.05). It is explained that a team that receives a draw from the pre-game setup might develop such an expected model of events, which is followed by the mobilization of internal psycho-emotional efforts to the highest potential degree of player resilience. The resilience factors of Group 1 over Group 2 were revealed to be Cheerfulness (t=2.1; р<.05) and Motivation to Succeed (t=3.2; р<.01). It is established (р<.01; р<.05) and proven that an active life position, optimism, love for life, and emotional stability are powerful motivators for winning football players. Conclusions. The first hypothesis was rejected since the significant differences in resilience between Group 3 and Group 1 were t=2.3; р<.05, indicating that the players who played a draw outweighed the winners in terms of Resilience. The second hypothesis was confirmed since Group 3 respondents consistently outweighed Group 2 respondents in Resilience and Motivation to Succeed (р<.05). It is recommended to include the acquired results into the coaching staff’s work on football players’ tactical and psychological preparation for the game. © JPES.",10.7752/jpes.2022.07199,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135456721&doi=10.7752%2fjpes.2022.07199&partnerID=40&md5=b215dc07505200bab940df796e438f3c,SCOPUS,No,Estado anímico be like: perder << empatar << ganar,,,,,,,,,,,,,,,,,,,
Sergio,AN ANALYSIS OF TEMPORAL NUMERICAL SUPERIORITY IN THE PAN-AMERICAN JUNIOR MEN'S WATER POLO MATCHES,"This study compared the frequency, number of goals and attack efficiency in temporal numerical superiority among winning and losing teams and among balanced and unbalanced matches in a junior men's water polo competition. Another analysed relationship was that between a balanced or unbalanced final score and the efficiency at scoring goals in numerical superiority in the winning teams' games. A total of 56 matches from the Pan-American Junior Men's Water Polo championship was analysed. The teams were categorised as losers or winners and the match results were classified as balanced or unbalanced. The chi-squared and Mann-Whitney tests were used for statistical treatment. There is no significant difference in the occurrence of numerical superiority between winners and losers (p = 0.25) despite the winners scoring more goals (p = 0.002) and being more efficient (p < 0.001). There is no significant difference in the occurrence of numerical superiority (p = 0.81) and goals (p = 0.03) in balanced and unbalanced matches. However, there tends to be a higher shot efficiency (p = 0.01) in unbalanced matches. A significant relationship exists (p = 0.04) between the winning teams' efficiency at scoring goals in a situation of numerical superiority and an unbalanced score. © 2022 Universidade Estadual de Maringa. All rights reserved.",10.4025/jphyseduc.v33i1.3350,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139219441&doi=10.4025%2fjphyseduc.v33i1.3350&partnerID=40&md5=421ebef31761b34eb960a7953e6f40cc,SCOPUS,No,Estudio estadístico de la ventaja que da la superioridad numérica que puede haber en un partido de waterpolo,,,,,,,,,,,,,,,,,,,
Sergio,Relationships between the technique index and performance in 60-m hurdle indoor races in elite male heptathletes,"A practical assessment of the hurdle clearance technique was carried out applying the technique index (TINDEX ), namely the difference between performance in a hurdle race and performance in a respective race without hurdles. The aim of the present study was to examine TINDEX of combined events athletes that competed in all World and European Indoor Athletics Championships. The analysis included the heptathletes who won (n = 84) or did not win (n = 192) a medal, the progress of TINDEX per decade (1990s: n = 75; 2000s: n = 97; 2010s: n = 104) and its correlation with performance (total points won) in heptathlon for a total of 276 cases from the heptathlon 60-m sprint and 60-m hurdle races held from 1993 to 2019. Results revealed that medal winners (median [interquartile range] = 0.99 [0.20] s) had significantly (p < 0.001) lower TINDEX compared to non-medal winners (1.10 [0.24] s). No significant (p > 0.05) TINDEX differences were observed among the cases in the examined decades. Finally, a significant negative correlation (τb = –0.27, p < 0.001) was observed for TINDEX and performance in heptathlon. In conclusion, hurdle clearance with the minimum time loss is a precondition for success in indoor combined events. © 2021, University School of Physical Education. All rights reserved.",10.23829/TSS.2021.28.2-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113358279&doi=10.23829%2fTSS.2021.28.2-7&partnerID=40&md5=ba77c05dae1f825cf7859da9b38ff2ef,SCOPUS,No,Relaciona el rendimiento de un corredor en una carrera de 60m valla al tiempo que haría si no hubiera vallas,,,,,,,,,,,,,,,,,,,
Sergio,Hydroxyapatite/L-Lysine Composite Coating as Glassy Carbon Electrode Modifier for the Analysis and Detection of Nile Blue A,"An amperometric sensor was developed by depositing a film coating of hydroxyapatite (HA)/L-lysine (Lys) composite material on a glassy carbon electrode (GCE). It was applied for the detection of Nile blue A (NBA). Hydroxyapatite was obtained from snail shells and its structural properties before and after its combination with Lys were characterized using X-ray diffraction (XRD), Fourier-transform infrared (FTIR) spectroscopy, scanning electron microscopy (SEM), and Brunauer–Emmett–Teller (BET) surface area analyses. The coupling of Lys to HA was attributed to favorable interaction between negatively charged-COO− groups of Lys and divalent ions Ca2+ of HA. Electrochemical investigations pointed out the improvement in sensitivity of the GCE/Lys/HA sensor towards the detection of NBA in solution. The dependence of the peak current and potential on the pH, scan rate, and NBA concentration was also investigated. Under optimal conditions, the GCE/Lys/HA sensor showed a good reproducibility, selectivity, and a NBA low detection limit of 5.07 × 10−8 mol L−1. The developed HA/Lys-modified electrode was successfully applied for the detection of NBA in various water samples. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",10.3390/ma15124262,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132557865&doi=10.3390%2fma15124262&partnerID=40&md5=cb41f6f98b6547b115570661469c490c,SCOPUS,No,NBA no como National Baketball Association sino como Nile Blue A (XDDDDD),,,,,,,,,,,,,,,,,,,
Sergio,Dealing with small samples in football research,"In football research, ‘small’ trials with low statistical power are common. On the elite level, the inherently low number of participants obviously conflicts with the relevance of even tiny effects. However, general characteristics of football also contribute (e.g. multifactorially influenced and/or complex outcomes). Importantly, small sample sizes are problematic regardless of the study outcome with issues ranging from inconclusive results and low precision to unrepeatable ‘discoveries’ and overestimation of effect sizes. Therefore, meeting the calculated, target sample size is the first priority. If a suboptimal sample size must be accepted, a range of tools can improve insights. To begin with, some general aspects of data collection and analysis become more important and should be optimally implemented (e.g. reliability of measures). Building on this foundation, specific amendments are available on the levels of data collection (e.g. aggregated single-subject designs) and data analysis (e.g. Bayesian methods). The present commentary aims to give an overview of selected, practical tools for dealing with small sample sizes in football research and provide recommendations for their application in scenarios typical for the field. Importantly, versatility and adaptability are mirrored by the need for utmost transparency including a predetermined (ideally preregistered) study plan. Collaboration or counselling with an expert statistician is strongly encouraged. © 2021 Informa UK Limited, trading as Taylor & Francis Group.",10.1080/24733938.2021.1978106,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115064490&doi=10.1080%2f24733938.2021.1978106&partnerID=40&md5=d08cb7f88af214ce6b9c41bd2f27794e,SCOPUS,No,No termino de ver como podemos relacionarlo con el tema del proyecto,,,,,,,,,,,,,,,,,,,
Sergio,Predicting Sports Results with Artificial Intelligence - A Proposal Framework for Soccer Games,"As the sports betting industry and technology have grown on a large scale, predicting the outcome of a sports match using technologies approach is now crucial. In fact, humans have a certain limitation when processing a large set of information. However, Artificial Intelligence techniques can overcome this issue. Furthermore, sports have a great amount of data to consider, thus, it is a great example of AI problem. A review of some research using different Artificial Intelligence techniques to predict a sport outcome is presented in this article. Different types of sports such as football, soccer, javelin throw, basketball, and horse race were analyzed, and showed distinct approaches to predict results. Finally, a framework to develop a system to predict the outcome of a soccer game based on AI is proposed, considering the present research review. © 2019 The Authors. Published by Elsevier B.V.",10.1016/j.procs.2019.12.164,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079882225&doi=10.1016%2fj.procs.2019.12.164&partnerID=40&md5=a4240e738fa4eb6c75bcbe4d23a9669f,SCOPUS,Podría Ser,Basado en IA (raro) para predecir outcomes de partidos,,,,,,,,,,,,,,,,,,,
Sergio,Epidemiology of Competition Injuries in Elite European Judo Athletes: A Prospective Cohort Study,"Objective:To determine the injury incidence rate (IIR) and injury pattern, and to identify risk factors for injury, among elite adult European judo athletes.Design:Prospective cohort study.Setting:The 2015 Under 23 European Judo Championships, Bratislava, Slovakia.Participants:All registered athletes (N = 295).Independent Variables:Sex, weight division, and fight outcome.Main Outcome Measures:Injury incidence rates were calculated per 1000 athlete-exposures (IIRAE) and per 1000 minutes of exposure (IIRME) with 95% confidence intervals (CI). Subgroups were compared by calculating the injury incidence rate ratio (RR) with a 95% CI.Results:The overall IIRAE and IIRME were 35.6 (95% CI, 22.8-53.0) and 10.9 (95% CI, 7.0-16.2), respectively. The most frequently injured anatomical region was the head/neck (41%), whereas the most common type of injury was contusion (33%). The risk of injury was almost 4 times greater for defeated athletes compared with winners [RRME 3.80 (95% CI, 1.47-9.82)]. Athletes in middleweight divisions had a greater risk of injury compared with their lightweight [RRME 3.58 (95% CI, 1.24-10.35)] and heavyweight [RRME 2.34 (95% CI, 0.93-5.89)] counterparts. The risk of injury for women was not significantly different from their male counterparts [RRME 1.33 (95% CI, 0.61-2.90)].Conclusions:Weight division (middle) and fight outcome (losing) are significant risk factors for injury. The IIR in elite adult judo competition is lower than that in taekwondo and karate. Future research is encouraged to investigate the actual severity of judo injuries, and to investigate potentially modifiable risk factors to mitigate the risk of injury in judo. © 2017 Wolters Kluwer Health, Inc. All rights reserved.",10.1097/JSM.0000000000000526,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054968005&doi=10.1097%2fJSM.0000000000000526&partnerID=40&md5=96b6c1e9fbd9581c7ae37d9a904358a2,SCOPUS,No,No es útil el análisis de las lesiones de judokas,,,,,,,,,,,,,,,,,,,
Sergio,Analysis of Goal Scoring Pathway for the Winners in UEFA Champions League Competition,"In soccer, goal scoring becomes the main factor in distinguishing between the winning and losing teams. One of the most crucial components of a soccer team's offensive performance is the goal-scoring path since it has been correlated with a higher likelihood of winning games. Therefore, the study aims to investigate the pathway of goal scoring among the winning teams in the previous seven consecutive seasons (2015/2016 – 2021/2022) in the UEFA Champions League competition. A total of 216 goals from the UEFA Champions League competitions in seven prior seasons (2015/2016-2019/2020) were examined. The pathway of goal scoring has been divided into long sequence passing, short sequence passing, and others. All the data have been recorded by using hand notational analysis and analyzed by using one-way ANOVA. A total of 216 goals were scored throughout the competition showing that 108 goals were from long sequence passing, 57 goals were from short sequence passing, and 51 goals came from others. The result indicated that there was a significant difference in the goal scoring sequence toward goal success among the winners, p > 0.00 which showed long sequence passing had the highest amount of goal scoring. As a summary, this demonstrated that the winning teams in 7 consecutive seasons of the UEFA Champions League competition (2015/2016 – 2021/2022) used long sequence passing frequently as their main attacking style to score a goal, which directly led them to win the championship. Therefore, the findings of this study may also be useful to coaches for educational reform in the soccer sports since they may allow them to make predictions about the best team tactics and goal-scoring strategies. It is suggested that future research examine teams of varied rankings to determine how goals are scored differently on each side. © 2023 by authors, all rights reserved.",10.13189/saj.2023.110601,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172896834&doi=10.13189%2fsaj.2023.110601&partnerID=40&md5=04b5bce1f23827b087cf1195a9994d2d,SCOPUS,No,No es de interés para el proyecto ,,,,,,,,,,,,,,,,,,,
Sergio,"Unhealthy sport sponsorship at the 2017 AFL Grand Final: a case study of its frequency, duration and nature","Objective: To assess the frequency, duration and nature of unhealthy marketing during the highest-rating sporting event in Australia in 2017. Methods: A content analysis of the 2017 Australian Football League (AFL) Grand Final television broadcast identified episodes of unhealthy food and sugary drink, alcohol and gambling marketing (and pro-health marketing as a comparison). Results: There were 559 unhealthy marketing episodes (47 minutes 17 seconds). Most (81%) were for unhealthy food and sugary drink products, while alcohol (9%) and gambling (10%) were less frequent. The total duration of unhealthy marketing was delivered primarily via fixed advertising (55%), dynamic advertising (32%) and branded objects (11%). For unhealthy food and sugary drinks, at least one episode was visible 25% of the time. For each of alcohol and gambling, at least one episode was visible 4% of the time. Unhealthy food and sugary drink marketing peaked in Quarter 2. Pro-health marketing was limited, with 26 episodes (2 minutes 59 seconds). Conclusions: The 2017 AFL Grand Final broadcast featured a high frequency and extensive duration of unhealthy marketing, especially for unhealthy food and sugary drink brands. Implications for public health: Findings strengthen evidence supporting calls to increase regulation of sport sponsorship by unhealthy brands. © 2019 Cancer Council Victoria",10.1111/1753-6405.12920,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068728440&doi=10.1111%2f1753-6405.12920&partnerID=40&md5=b8d375b575a9799519e5d7c05ffaf72d,SCOPUS,No,Habla sobre programas que emitieron de publicidad en la AFL Grand Final ,,,,,,,,,,,,,,,,,,,
Sergio,A Point Difference Analysis Established by Winners and Losers in International Badminton Doubles Matches,"The aim of this study is to analyze the point difference established in three different phases between winners and losers in international men’s and women’s badminton doubles matches. Analyzing 183 matches from the 2021 TotalEnergies World Championship, each match was divided into three phases: Phase 1 (0-7 points), Phase 2 (8-14 points), and Phase 3 (15-21 points). Maximum Point Difference (MPD) and Maximum Consecutive Points (MCP) were examined to assess player performance. Kruskal-Wallis H and Mann-Whitney U statistical tests were conducted. Significant differences between winners and losers were found in all phases, with the difference increasing significantly over phases with medium to large effect sizes. The first seven points significantly increase a player’s chances of winning. 72% (men’s category) and 75% (women’s category) of players won, who was ahead in the point difference in the first phase of the game. In the men’s category, 67.4% won who were ahead in point difference in all three phases. Whereas in the women’s category, it is 70.45%. Winners in both categories had significantly (p<0.05) higher consecutive points than the losers. In the second phase, the winners averaged 5 to 6 points over the losers in both categories. The winners kept increasing their point difference in every phase. On the other hand, in losers, the point difference decreased throughout the game. These findings underscore the importance of early lead acquisition and suggest potential strategies and tactics to enhance players’ winning probabilities. © 2024 Montenegrin Sports Academy. All rights reserved.",10.26773/smj.240710,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197273906&doi=10.26773%2fsmj.240710&partnerID=40&md5=d966d41962ffe57747f0f996c5814e21,SCOPUS,No,Habla de la importancia de los primeros puntos en un partido de bádminton,,,,,,,,,,,,,,,,,,,
,Forecasting binary outcomes in soccer,"Several studies deal with the development of advanced statistical methods for predicting football match results. These predictions are then used to construct profitable betting strategies. Even if the most popular bets are based on whether one expects that a team will win, lose, or draw in the next game, nowadays a variety of other outcomes are available for betting purposes. While some of these events are binary in nature (e.g. the red cards occurrence), others can be seen as binary outcomes. In this paper we propose a simple framework, based on score-driven models, able to obtain accurate forecasts for binary outcomes in soccer matches. To show the usefulness of the proposed statistical approach, two experiments to the English Premier League and to the Italian Serie A are provided for predicting red cards occurrence, Under/Over and Goal/No Goal events. © 2021, The Author(s).",10.1007/s10479-021-04224-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112275230&doi=10.1007%2fs10479-021-04224-8&partnerID=40&md5=a4c3a14c9511548d8c8dc31abafaaa02,SCOPUS,Si,Predice el outcome de variables binarias (sí o no ),Accuracy,"Generalized Linear Model, Naïve Bayes",Fútbol,"premiere league, Serie A",masculino,No,Transformación a variables binarias,13 temporadas de premier y serie A,"Tarjeta roja, gol/no gol, Under/over",público,football-data.co.uk,Predecir la ocurrencia de eventos binarios en partidos de fútbol y evaluar su impacto en estrategias de apuestas,Binary value prediction,"Predicción de Red Cards:

GAS alcanzó 100% en la Premier League y 94% en la Serie A.
BARMA tuvo 99.8% y 97% respectivamente.
Naïve estuvo alrededor del 95%.
Predicción de Goal/No Goal:

GAS tuvo 92% (Premier League) y 93% (Serie A).
BARMA fue ineficaz (50% o menos en promedio).
Naïve obtuvo entre 47%-52%.
Predicción de Under/Over:

GAS tuvo precisión entre 89%-94%.
BARMA varió de 42%-81%.
Naïve fue el peor en la mayoría de los casos.",Premier league y Serie A,"2008/09, 2009/10, 2010/11, 2011/12, 2012/13, 2013/14, 2014/15, 2019/20, 2015/16, 2016/17, 2018/19, 2017/18, 2020/21",Raffaele Mattera,,"Se requiere más validación, ya que los resultados parecen demasiado buenos en el entrenamiento y puede estar sobreajustando"
Sergio,"Ultimate full contact: Fight outcome characterization concerning their methods, occurrence times and technical–tactical developments","Fight analysis produces relevant technical–tactical information. However, this knowledge is limited in hybrid full-contact combat sports. Therefore, this study aimed to characterize the results of the fights’ outcomes through the winners at the World Ultimate Full Contact (WUFC) Championships between 2008 and 2017. Methods: 170 combats between senior male fighters (master class) from 38 countries were observed; all fight outcome methods, their occurrence times, inherent skills and their development forms were analyzed through frequencies, percentages, crosstabs and chi-square test, considering a Fisher’s exact value of p < 0.05. The fight outcome methods were, in decreasing order, as follows: submission; decision and technical knockout (TKO); knockout (KO); and doctor stoppage. Only 19.4% fights completed the regular time 10 min (600 s), and 68.8% fight outcomes occurred in the first 5 min (300 s). Chokes were more used than joint locks, primarily developed in single actions. Head punches and kicks were the skills most responsible for KO, developed more in combinations and counter-attacks, while TKO was always through combination attacks and mostly by ground and pound. Ground fighting is most effective. In stand-up fighting, combination attacks and counter-attack are most effective. It is important to increase the technical–tactical capacities and adjustable decision-making to perform the regular fight time. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",10.3390/ijerph17197094,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091717657&doi=10.3390%2fijerph17197094&partnerID=40&md5=fd0ad0b2220db903223a932b6bc9d369,SCOPUS,No,Estudio para concluir que hay que aumentar las capacidades tácticas y técnicas para el boxeo ,,,,,,,,,,,,,,,,,,,
,A predictive analytics framework for forecasting soccer match outcomes using machine learning models,"Predicting the outcome of a sports game is a favourite pastime for sports fans and researchers. The interest has intensified in recent years due to data availability, the development and successful implementation of machine learning algorithms, and the proliferation of internet gaming. This research focuses on developing a predictive analytics framework using machine learning or artificial intelligence models, as well as publicly available game results and weather data, to accurately predict outcomes of games in the English Premier League. Development efforts include experimentation using weather data and constructs such as fatigue and momentum. Ensemble techniques such as stacking or voting are also explored to improve the accuracy of basic machine learning models. The results are compared with those derived from the odds given by the major bookmakers to gauge the usefulness and potential applications in sports betting. © 2024 The Author(s)",10.1016/j.dajour.2024.100537,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214295216&doi=10.1016%2fj.dajour.2024.100537&partnerID=40&md5=452343b6cf2ce72915e7f0a3c6a093e2,SCOPUS,Si,Otro analisis predictivo para partidos de fútbol,"Accuracy, Precision, Recall, F1 Score, Normalized Mathews correlation coefficient, ROI","Logistic Regression, KNN, Support Vector Machine, Naïve Bayes, Random Forest, ANN",Fútbol,premiere league,,,,,,,,,,,,,,,
Sergio,Framing effects and the market selection hypothesis: Evidence from real-world isomorphic bets,"We collect data on 75 million GBP of tennis bets over a 6 year period to analyze whether participants in high-stakes environments recognize simple framing differences. The structure of this market means that we can place the same bet at the same time in two different ways. These two isomorphic bets are framed differently, and often priced differently. We find that bettors make frequent mistakes, choosing the worse of the two bets in 35% of cases. However, bettors who choose the inferior price earn higher returns from their bets, suggesting that their effort has been focused on fundamental information acquisition rather than bet execution. The net result is that market selection may, if anything, slightly favor those who are unable, or unwilling, to recognize framing differences. © 2021 The Southern Economic Association.",10.1002/soej.12519,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107328250&doi=10.1002%2fsoej.12519&partnerID=40&md5=cb28e37b903e41cd852d65bc09930e9b,SCOPUS,No,No termino de ver como podemos relacionarlo con el tema del proyecto,,,,,,,,,,,,,,,,,,,
Sergio,Time–motion analysis by playing positions of male handball players during the european championship 2020,"The aim of this study was to analyze time–motion characteristics of elite male handball players during the last European Championship 2020. A total of 414 players from 24 national teams were analyzed during 65 matches using a local positioning system (LPS) for the first time in a European Championship. Players (n = 1865) covered significantly (p < 0.001; ES = 0.48) more total distance in offense (1217.48 ± 699.33 m) and in all locomotion categories (p < 0.001) than in defense (900.96 ± 538.95 m), with a similar average total time on court (13.40 ± 8.19 min in offense and 13.27 ± 8.59 min; p > 0.05). The running pace was significantly higher in offense 96.53 ± 22.57 m/min than in defense 82.72 ± 43.28 m/min (p < 0.001; ES = 0.47). By playing positions, the Left Wing players covered significantly (p < 0.001) higher distances (2547.14 ± 1309.52) and showed longer playing time (32.08 ± 17.01). Center Back was the playing position that showed the highest global running pace (98.34 m/min). Players with higher running pace in offense (p < 0.001) were Left Backs (105.95 ± 25.20) and the Center Backs in defense (95.76 ± 48.90). There were no significant differences between winners and losers or between top ranked and lower ranked teams in terms of time played, distance covered, and running pace. Specific physical conditioning is necessary to maximize performance and minimize fatigue when performing in long tournaments. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",10.3390/ijerph18062787,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102604275&doi=10.3390%2fijerph18062787&partnerID=40&md5=81c63c37b2a8bd15d7f868f8cec277a4,SCOPUS,No,Nonsense - Sabrina Carpenter,,,,,,,,,,,,,,,,,,,
Sergio,What variables can differentiate winning and losing teams in the group and final stages of the 2018 FIFA World Cup?,"To compare the tactical, physical and technical indicators between winners and losers of the group and final stages of the 2018 FIFA World Cup (WC). Eighteen variables were analysed, divided into tactical (ball possession), physical (distance covered, sprints and intensity zones 1 [low] to 5 [high]) and technical indicators (passing, shots and corners). The losing teams had lower ball possession in the group stage when compared to the winners (p = .04). There was a tendency (p = .06) for winners to spend more time in high intensity (group stage). Winners also had a tendency towards greater passing success (p = .06), shots (p = .05) and shots on target (p < .01). In summary, the winning teams have greater ball possession and pass success during the group stage of the 2018 FIFA WC, in addition to spending more time at high intensities and achieving more shots and shots on target independent of whether the match was performed in the group or final knockout stage. Our findings do not suggest any additional physical, tactical or technical variable in the determination of success in high-level soccer competition. © 2019, © 2019 Cardiff Metropolitan University.",10.1080/24748668.2019.1593096,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063692701&doi=10.1080%2f24748668.2019.1593096&partnerID=40&md5=84c8d41259c60043349a4ff84d9a0560,SCOPUS,No,Otro de estadística que no llega a ningún lado,,,,,,,,,,,,,,,,,,,
,Machine learning in football betting: Prediction of match results based on player characteristics,"In recent times, football (soccer) has aroused an increasing amount of attention across continents and entered unexpected dimensions. In this course, the number of bookmakers, who offer the opportunity to bet on the outcome of football games, expanded enormously, which was further strengthened by the development of the world wide web. In this context, one could generate positive returns over time by betting based on a strategy which successfully identifies overvalued a betting odds. Due to the large number of matches around the globe, football matches in particular have great potential for such a betting strategy. This paper utilizes machine learning to forecast the outcome of football games based on match and player attributes. A simulation study which includes all matches of the five greatest European football leagues and the corresponding second leagues between 2006 and 2018 revealed that an ensemble strategy achieves statistically and economically significant returns of 1.58% per match. Furthermore, the combination of different machine learning algorithms could neither be outperformed by the individual machine learning approaches nor by a linear regression model or naive betting strategies, such as always betting on the victory of the home team. © 2019 by the authors.",10.3390/app10010046,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079219903&doi=10.3390%2fapp10010046&partnerID=40&md5=dca665cffcb1eeff14bd18f0b67f0781,SCOPUS,Si,"I mean, machine learning y predicción de resultados de partidos",,,,,,,,,,,,,,,,,,,
Sergio,Football Clubs and the Global Transfer Market,"This is the first book to examine labour markets in professional football from the perspective of football clubs rather than players. Drawing on data from the eight biggest European football leagues - the hub of the global player transfer market - the book explores how and why clubs scout the market for new players, why they let players go, and how they use their academies to identify and develop young talent. Arguing that clubs aren’t fully rational actors when it comes to player transfers and talent development, it demonstrates that clubs’ talent policy is most often a bet on high player turnover alongside local recruitment. It shows that most transfers take place domestically between clubs within country borders, using sociological analysis to explore the investment of clubs in domestic labour markets, and offers new insight into the internal operation of clubs in the way that they manage their first team squads and youth academies, and how this often creates conditions of anxiety and insecurity that isn’t in the best interests of clubs or players. International in scope, and shining new light on sports labour markets and organisational behaviour in sport, this book is fascinating reading for any advanced student, researcher, policy-maker or practitioner with an interest in sport business and management, talent identification and development, or international business or human resource management. © 2025 Thijs A. Velema.",10.4324/9781003452881,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212887596&doi=10.4324%2f9781003452881&partnerID=40&md5=893c5ba7768ca83d8c3d594e9a64f988,SCOPUS,No,"No tiene nada que ver con el tema del proyecto, ya que habla del mercado de fichajes y gestión (además es un libro (lol))",,,,,,,,,,,,,,,,,,,
Sergio,Changes in Satisfaction with Meaningful Activities and Onset of Depressive Symptoms among Community-Dwelling Japanese Older Adults: A Population-Based Study Before and During the COVID-19 Pandemic,"Objectives: This study aimed to clarify the association between changes in satisfaction with meaningful activities and the occurrence of depressive symptoms before and during the coronavirus disease 2019 (COVID-19) pandemic. Design: A population-based prospective cohort study (Tarumizu Study). Setting and Participants: A total of 231 community-dwelling older adults aged ≥65 years without depressive symptoms at baseline. Methods: The participants completed baseline (June to December 2018, before the COVID-19 pandemic) and follow-up (September to December 2021, during the COVID-19 pandemic) assessments. Depressive symptoms were assessed using the 15-item Geriatric Depression Scale (GDS-15) and defined by a GDS-15 score of ≥5. Participants selected meaningful activities from the 95 activities included in the Aid for Decision-Making in Occupation Choice, and their satisfaction levels were evaluated. Satisfaction with the most meaningful activities was assessed as to whether it was maintained/improved or decreased at follow-up. Results: In the follow-up survey, 31 (14.3%) participants reported the occurrence of depressive symptoms. Compared with before the COVID-19 pandemic, the rates of meaningful activities during the COVID-19 pandemic decreased for interpersonal interaction and social life and increased for leisure, sports, self-care, and domestic life. Logistic regression analysis revealed that changes in satisfaction with meaningful activity were associated with the occurrence of depressive symptoms after adjusting for demographic variables, baseline GDS scores, cognitive and physical status, and instrumental activities of daily living (odds ratio, 2.78; 95% confidence interval, 1.17–6.59, P = .020). Conclusions and Implications: To avoid decreasing satisfaction with meaningful activities, supporting older adults may be protective against the occurrence of depressive symptoms. Our findings highlight the need for health care professionals to not only encourage older adults to participate in activities for their mental health but also consider whether the activities are meaningful or satisfying for them. © 2023 AMDA – The Society for Post-Acute and Long-Term Care Medicine",10.1016/j.jamda.2023.03.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152739663&doi=10.1016%2fj.jamda.2023.03.010&partnerID=40&md5=c1b57b20d0aea31a68884b315f876092,SCOPUS,No,Estudio de la pandemia de Covid-19 en Japón,,,,,,,,,,,,,,,,,,,
